global_step,episode_idx,agent,action,reward,pos_F,pos_M,carry_F,carry_M,terminal
306,0,F,RIGHT,0.23000000000000018,"(3, 3)","(3, 5)",1,0,0
307,0,M,RIGHT,-0.1399999999999998,"(3, 3)","(3, 6)",1,0,0
308,0,F,WAIT,0.01000000000000014,"(3, 3)","(3, 6)",1,0,0
309,0,M,UP,0.2500000000000001,"(3, 3)","(2, 6)",1,0,0
310,0,F,DOWN,0.22,"(4, 3)","(2, 6)",1,0,0
311,0,M,DOWN,-0.1399999999999998,"(4, 3)","(3, 6)",1,0,0
312,0,F,LEFT,-0.16999999999999987,"(4, 2)","(3, 6)",1,0,0
313,0,M,RIGHT,-0.13,"(4, 2)","(3, 7)",1,0,0
314,0,F,WAIT,0.01000000000000014,"(4, 2)","(3, 7)",1,0,0
315,0,M,LEFT,0.26000000000000023,"(4, 2)","(3, 6)",1,0,0
316,0,F,WAIT,0.01000000000000014,"(4, 2)","(3, 6)",1,0,0
317,0,M,WAIT,0.040000000000000216,"(4, 2)","(3, 6)",1,0,0
318,0,F,DOWN,0.22,"(5, 2)","(3, 6)",1,0,0
319,0,M,LEFT,0.2500000000000001,"(5, 2)","(3, 5)",1,0,0
320,0,F,LEFT,-0.16999999999999987,"(5, 1)","(3, 5)",1,0,0
321,0,M,DOWN,-0.1399999999999998,"(5, 1)","(4, 5)",1,0,0
322,0,F,WAIT,0.01000000000000014,"(5, 1)","(4, 5)",1,0,0
323,0,M,RIGHT,-0.13,"(5, 1)","(4, 6)",1,0,0
324,0,F,RIGHT,0.22,"(5, 2)","(4, 6)",1,0,0
325,0,M,LEFT,0.26000000000000023,"(5, 2)","(4, 5)",1,0,0
326,0,F,RIGHT,0.21000000000000005,"(5, 3)","(4, 5)",1,0,0
327,0,M,WAIT,0.040000000000000216,"(5, 3)","(4, 5)",1,0,0
328,0,F,RIGHT,0.2000000000000001,"(5, 4)","(4, 5)",1,0,0
329,0,M,DOWN,-0.13,"(5, 4)","(5, 5)",1,0,0
330,0,F,WAIT,-0.01999999999999993,"(5, 4)","(5, 5)",1,0,0
331,0,M,WAIT,0.05,"(5, 4)","(5, 5)",1,0,0
332,0,F,LEFT,-0.18999999999999997,"(5, 3)","(5, 5)",1,0,0
333,0,M,WAIT,0.05,"(5, 3)","(5, 5)",1,0,0
334,0,F,LEFT,-0.18000000000000002,"(5, 2)","(5, 5)",1,0,0
335,0,M,UP,0.26000000000000023,"(5, 2)","(4, 5)",1,0,0
336,0,F,WAIT,0.0,"(5, 2)","(4, 5)",1,0,0
337,0,M,UP,0.2500000000000001,"(5, 2)","(3, 5)",1,0,0
